dataset_name,url,source_region,source_platform,label_format,collection,notes,durum_bizde,rol,gerekce,bizde_kaynak_adi
KDD21 / UCR Anomaly Series 062,https://www.thedatum.org/datasets/TSB-AD-U.zip,Global,GitHub/Web,Normalized CSV Label column (0/1),KDD21/UCR via TSB-AD-U,Independent labeled time series,Kullanılıyor,benchmark,"UCR arşivinin serisi; ucr / ucr_fizyo* olarak değerlendirmede, eğitime girmez",ucr
KDD21 / UCR Anomaly Series 063,https://www.thedatum.org/datasets/TSB-AD-U.zip,Global,GitHub/Web,Normalized CSV Label column (0/1),KDD21/UCR via TSB-AD-U,Independent labeled time series,Kullanılıyor,benchmark,"UCR arşivinin serisi; ucr / ucr_fizyo* olarak değerlendirmede, eğitime girmez",ucr
KDD21 / UCR Anomaly Series 064,https://www.thedatum.org/datasets/TSB-AD-U.zip,Global,GitHub/Web,Normalized CSV Label column (0/1),KDD21/UCR via TSB-AD-U,Independent labeled time series,Kullanılıyor,benchmark,"UCR arşivinin serisi; ucr / ucr_fizyo* olarak değerlendirmede, eğitime girmez",ucr
KDD21 / UCR Anomaly Series 065,https://www.thedatum.org/datasets/TSB-AD-U.zip,Global,GitHub/Web,Normalized CSV Label column (0/1),KDD21/UCR via TSB-AD-U,Independent labeled time series,Kullanılıyor,benchmark,"UCR arşivinin serisi; ucr / ucr_fizyo* olarak değerlendirmede, eğitime girmez",ucr
KDD21 / UCR Anomaly Series 066,https://www.thedatum.org/datasets/TSB-AD-U.zip,Global,GitHub/Web,Normalized CSV Label column (0/1),KDD21/UCR via TSB-AD-U,Independent labeled time series,Kullanılıyor,benchmark,"UCR arşivinin serisi; ucr / ucr_fizyo* olarak değerlendirmede, eğitime girmez",ucr
KDD21 / UCR Anomaly Series 067,https://www.thedatum.org/datasets/TSB-AD-U.zip,Global,GitHub/Web,Normalized CSV Label column (0/1),KDD21/UCR via TSB-AD-U,Independent labeled time series,Kullanılıyor,benchmark,"UCR arşivinin serisi; ucr / ucr_fizyo* olarak değerlendirmede, eğitime girmez",ucr
KDD21 / UCR Anomaly Series 068,https://www.thedatum.org/datasets/TSB-AD-U.zip,Global,GitHub/Web,Normalized CSV Label column (0/1),KDD21/UCR via TSB-AD-U,Independent labeled time series,Kullanılıyor,benchmark,"UCR arşivinin serisi; ucr / ucr_fizyo* olarak değerlendirmede, eğitime girmez",ucr
KDD21 / UCR Anomaly Series 069,https://www.thedatum.org/datasets/TSB-AD-U.zip,Global,GitHub/Web,Normalized CSV Label column (0/1),KDD21/UCR via TSB-AD-U,Independent labeled time series,Kullanılıyor,benchmark,"UCR arşivinin serisi; ucr / ucr_fizyo* olarak değerlendirmede, eğitime girmez",ucr
KDD21 / UCR Anomaly Series 070,https://www.thedatum.org/datasets/TSB-AD-U.zip,Global,GitHub/Web,Normalized CSV Label column (0/1),KDD21/UCR via TSB-AD-U,Independent labeled time series,Kullanılıyor,benchmark,"UCR arşivinin serisi; ucr / ucr_fizyo* olarak değerlendirmede, eğitime girmez",ucr
KDD21 / UCR Anomaly Series 071,https://www.thedatum.org/datasets/TSB-AD-U.zip,Global,GitHub/Web,Normalized CSV Label column (0/1),KDD21/UCR via TSB-AD-U,Independent labeled time series,Kullanılıyor,benchmark,"UCR arşivinin serisi; ucr / ucr_fizyo* olarak değerlendirmede, eğitime girmez",ucr
KDD21 / UCR Anomaly Series 072,https://www.thedatum.org/datasets/TSB-AD-U.zip,Global,GitHub/Web,Normalized CSV Label column (0/1),KDD21/UCR via TSB-AD-U,Independent labeled time series,Kullanılıyor,benchmark,"UCR arşivinin serisi; ucr / ucr_fizyo* olarak değerlendirmede, eğitime girmez",ucr
KDD21 / UCR Anomaly Series 073,https://www.thedatum.org/datasets/TSB-AD-U.zip,Global,GitHub/Web,Normalized CSV Label column (0/1),KDD21/UCR via TSB-AD-U,Independent labeled time series,Kullanılıyor,benchmark,"UCR arşivinin serisi; ucr / ucr_fizyo* olarak değerlendirmede, eğitime girmez",ucr
KDD21 / UCR Anomaly Series 074,https://www.thedatum.org/datasets/TSB-AD-U.zip,Global,GitHub/Web,Normalized CSV Label column (0/1),KDD21/UCR via TSB-AD-U,Independent labeled time series,Kullanılıyor,benchmark,"UCR arşivinin serisi; ucr / ucr_fizyo* olarak değerlendirmede, eğitime girmez",ucr
KDD21 / UCR Anomaly Series 075,https://www.thedatum.org/datasets/TSB-AD-U.zip,Global,GitHub/Web,Normalized CSV Label column (0/1),KDD21/UCR via TSB-AD-U,Independent labeled time series,Kullanılıyor,benchmark,"UCR arşivinin serisi; ucr / ucr_fizyo* olarak değerlendirmede, eğitime girmez",ucr
KDD21 / UCR Anomaly Series 076,https://www.thedatum.org/datasets/TSB-AD-U.zip,Global,GitHub/Web,Normalized CSV Label column (0/1),KDD21/UCR via TSB-AD-U,Independent labeled time series,Kullanılıyor,benchmark,"UCR arşivinin serisi; ucr / ucr_fizyo* olarak değerlendirmede, eğitime girmez",ucr
KDD21 / UCR Anomaly Series 077,https://www.thedatum.org/datasets/TSB-AD-U.zip,Global,GitHub/Web,Normalized CSV Label column (0/1),KDD21/UCR via TSB-AD-U,Independent labeled time series,Kullanılıyor,benchmark,"UCR arşivinin serisi; ucr / ucr_fizyo* olarak değerlendirmede, eğitime girmez",ucr
KDD21 / UCR Anomaly Series 078,https://www.thedatum.org/datasets/TSB-AD-U.zip,Global,GitHub/Web,Normalized CSV Label column (0/1),KDD21/UCR via TSB-AD-U,Independent labeled time series,Kullanılıyor,benchmark,"UCR arşivinin serisi; ucr / ucr_fizyo* olarak değerlendirmede, eğitime girmez",ucr
KDD21 / UCR Anomaly Series 079,https://www.thedatum.org/datasets/TSB-AD-U.zip,Global,GitHub/Web,Normalized CSV Label column (0/1),KDD21/UCR via TSB-AD-U,Independent labeled time series,Kullanılıyor,benchmark,"UCR arşivinin serisi; ucr / ucr_fizyo* olarak değerlendirmede, eğitime girmez",ucr
KDD21 / UCR Anomaly Series 080,https://www.thedatum.org/datasets/TSB-AD-U.zip,Global,GitHub/Web,Normalized CSV Label column (0/1),KDD21/UCR via TSB-AD-U,Independent labeled time series,Kullanılıyor,benchmark,"UCR arşivinin serisi; ucr / ucr_fizyo* olarak değerlendirmede, eğitime girmez",ucr
KDD21 / UCR Anomaly Series 081,https://www.thedatum.org/datasets/TSB-AD-U.zip,Global,GitHub/Web,Normalized CSV Label column (0/1),KDD21/UCR via TSB-AD-U,Independent labeled time series,Kullanılıyor,benchmark,"UCR arşivinin serisi; ucr / ucr_fizyo* olarak değerlendirmede, eğitime girmez",ucr
KDD21 / UCR Anomaly Series 082,https://www.thedatum.org/datasets/TSB-AD-U.zip,Global,GitHub/Web,Normalized CSV Label column (0/1),KDD21/UCR via TSB-AD-U,Independent labeled time series,Kullanılıyor,benchmark,"UCR arşivinin serisi; ucr / ucr_fizyo* olarak değerlendirmede, eğitime girmez",ucr
KDD21 / UCR Anomaly Series 083,https://www.thedatum.org/datasets/TSB-AD-U.zip,Global,GitHub/Web,Normalized CSV Label column (0/1),KDD21/UCR via TSB-AD-U,Independent labeled time series,Kullanılıyor,benchmark,"UCR arşivinin serisi; ucr / ucr_fizyo* olarak değerlendirmede, eğitime girmez",ucr
KDD21 / UCR Anomaly Series 084,https://www.thedatum.org/datasets/TSB-AD-U.zip,Global,GitHub/Web,Normalized CSV Label column (0/1),KDD21/UCR via TSB-AD-U,Independent labeled time series,Kullanılıyor,benchmark,"UCR arşivinin serisi; ucr / ucr_fizyo* olarak değerlendirmede, eğitime girmez",ucr
KDD21 / UCR Anomaly Series 085,https://www.thedatum.org/datasets/TSB-AD-U.zip,Global,GitHub/Web,Normalized CSV Label column (0/1),KDD21/UCR via TSB-AD-U,Independent labeled time series,Kullanılıyor,benchmark,"UCR arşivinin serisi; ucr / ucr_fizyo* olarak değerlendirmede, eğitime girmez",ucr
KDD21 / UCR Anomaly Series 086,https://www.thedatum.org/datasets/TSB-AD-U.zip,Global,GitHub/Web,Normalized CSV Label column (0/1),KDD21/UCR via TSB-AD-U,Independent labeled time series,Kullanılıyor,benchmark,"UCR arşivinin serisi; ucr / ucr_fizyo* olarak değerlendirmede, eğitime girmez",ucr
KDD21 / UCR Anomaly Series 087,https://www.thedatum.org/datasets/TSB-AD-U.zip,Global,GitHub/Web,Normalized CSV Label column (0/1),KDD21/UCR via TSB-AD-U,Independent labeled time series,Kullanılıyor,benchmark,"UCR arşivinin serisi; ucr / ucr_fizyo* olarak değerlendirmede, eğitime girmez",ucr
KDD21 / UCR Anomaly Series 088,https://www.thedatum.org/datasets/TSB-AD-U.zip,Global,GitHub/Web,Normalized CSV Label column (0/1),KDD21/UCR via TSB-AD-U,Independent labeled time series,Kullanılıyor,benchmark,"UCR arşivinin serisi; ucr / ucr_fizyo* olarak değerlendirmede, eğitime girmez",ucr
KDD21 / UCR Anomaly Series 089,https://www.thedatum.org/datasets/TSB-AD-U.zip,Global,GitHub/Web,Normalized CSV Label column (0/1),KDD21/UCR via TSB-AD-U,Independent labeled time series,Kullanılıyor,benchmark,"UCR arşivinin serisi; ucr / ucr_fizyo* olarak değerlendirmede, eğitime girmez",ucr
KDD21 / UCR Anomaly Series 090,https://www.thedatum.org/datasets/TSB-AD-U.zip,Global,GitHub/Web,Normalized CSV Label column (0/1),KDD21/UCR via TSB-AD-U,Independent labeled time series,Kullanılıyor,benchmark,"UCR arşivinin serisi; ucr / ucr_fizyo* olarak değerlendirmede, eğitime girmez",ucr
KDD21 / UCR Anomaly Series 091,https://www.thedatum.org/datasets/TSB-AD-U.zip,Global,GitHub/Web,Normalized CSV Label column (0/1),KDD21/UCR via TSB-AD-U,Independent labeled time series,Kullanılıyor,benchmark,"UCR arşivinin serisi; ucr / ucr_fizyo* olarak değerlendirmede, eğitime girmez",ucr
KDD21 / UCR Anomaly Series 092,https://www.thedatum.org/datasets/TSB-AD-U.zip,Global,GitHub/Web,Normalized CSV Label column (0/1),KDD21/UCR via TSB-AD-U,Independent labeled time series,Kullanılıyor,benchmark,"UCR arşivinin serisi; ucr / ucr_fizyo* olarak değerlendirmede, eğitime girmez",ucr
KDD21 / UCR Anomaly Series 093,https://www.thedatum.org/datasets/TSB-AD-U.zip,Global,GitHub/Web,Normalized CSV Label column (0/1),KDD21/UCR via TSB-AD-U,Independent labeled time series,Kullanılıyor,benchmark,"UCR arşivinin serisi; ucr / ucr_fizyo* olarak değerlendirmede, eğitime girmez",ucr
KDD21 / UCR Anomaly Series 094,https://www.thedatum.org/datasets/TSB-AD-U.zip,Global,GitHub/Web,Normalized CSV Label column (0/1),KDD21/UCR via TSB-AD-U,Independent labeled time series,Kullanılıyor,benchmark,"UCR arşivinin serisi; ucr / ucr_fizyo* olarak değerlendirmede, eğitime girmez",ucr
KDD21 / UCR Anomaly Series 095,https://www.thedatum.org/datasets/TSB-AD-U.zip,Global,GitHub/Web,Normalized CSV Label column (0/1),KDD21/UCR via TSB-AD-U,Independent labeled time series,Kullanılıyor,benchmark,"UCR arşivinin serisi; ucr / ucr_fizyo* olarak değerlendirmede, eğitime girmez",ucr
KDD21 / UCR Anomaly Series 096,https://www.thedatum.org/datasets/TSB-AD-U.zip,Global,GitHub/Web,Normalized CSV Label column (0/1),KDD21/UCR via TSB-AD-U,Independent labeled time series,Kullanılıyor,benchmark,"UCR arşivinin serisi; ucr / ucr_fizyo* olarak değerlendirmede, eğitime girmez",ucr
KDD21 / UCR Anomaly Series 097,https://www.thedatum.org/datasets/TSB-AD-U.zip,Global,GitHub/Web,Normalized CSV Label column (0/1),KDD21/UCR via TSB-AD-U,Independent labeled time series,Kullanılıyor,benchmark,"UCR arşivinin serisi; ucr / ucr_fizyo* olarak değerlendirmede, eğitime girmez",ucr
KDD21 / UCR Anomaly Series 098,https://www.thedatum.org/datasets/TSB-AD-U.zip,Global,GitHub/Web,Normalized CSV Label column (0/1),KDD21/UCR via TSB-AD-U,Independent labeled time series,Kullanılıyor,benchmark,"UCR arşivinin serisi; ucr / ucr_fizyo* olarak değerlendirmede, eğitime girmez",ucr
KDD21 / UCR Anomaly Series 099,https://www.thedatum.org/datasets/TSB-AD-U.zip,Global,GitHub/Web,Normalized CSV Label column (0/1),KDD21/UCR via TSB-AD-U,Independent labeled time series,Kullanılıyor,benchmark,"UCR arşivinin serisi; ucr / ucr_fizyo* olarak değerlendirmede, eğitime girmez",ucr
KDD21 / UCR Anomaly Series 100,https://www.thedatum.org/datasets/TSB-AD-U.zip,Global,GitHub/Web,Normalized CSV Label column (0/1),KDD21/UCR via TSB-AD-U,Independent labeled time series,Kullanılıyor,benchmark,"UCR arşivinin serisi; ucr / ucr_fizyo* olarak değerlendirmede, eğitime girmez",ucr
KDD21 / UCR Anomaly Series 101,https://www.thedatum.org/datasets/TSB-AD-U.zip,Global,GitHub/Web,Normalized CSV Label column (0/1),KDD21/UCR via TSB-AD-U,Independent labeled time series,Kullanılıyor,benchmark,"UCR arşivinin serisi; ucr / ucr_fizyo* olarak değerlendirmede, eğitime girmez",ucr
KDD21 / UCR Anomaly Series 102,https://www.thedatum.org/datasets/TSB-AD-U.zip,Global,GitHub/Web,Normalized CSV Label column (0/1),KDD21/UCR via TSB-AD-U,Independent labeled time series,Kullanılıyor,benchmark,"UCR arşivinin serisi; ucr / ucr_fizyo* olarak değerlendirmede, eğitime girmez",ucr
KDD21 / UCR Anomaly Series 103,https://www.thedatum.org/datasets/TSB-AD-U.zip,Global,GitHub/Web,Normalized CSV Label column (0/1),KDD21/UCR via TSB-AD-U,Independent labeled time series,Kullanılıyor,benchmark,"UCR arşivinin serisi; ucr / ucr_fizyo* olarak değerlendirmede, eğitime girmez",ucr
KDD21 / UCR Anomaly Series 104,https://www.thedatum.org/datasets/TSB-AD-U.zip,Global,GitHub/Web,Normalized CSV Label column (0/1),KDD21/UCR via TSB-AD-U,Independent labeled time series,Kullanılıyor,benchmark,"UCR arşivinin serisi; ucr / ucr_fizyo* olarak değerlendirmede, eğitime girmez",ucr
KDD21 / UCR Anomaly Series 105,https://www.thedatum.org/datasets/TSB-AD-U.zip,Global,GitHub/Web,Normalized CSV Label column (0/1),KDD21/UCR via TSB-AD-U,Independent labeled time series,Kullanılıyor,benchmark,"UCR arşivinin serisi; ucr / ucr_fizyo* olarak değerlendirmede, eğitime girmez",ucr
KDD21 / UCR Anomaly Series 106,https://www.thedatum.org/datasets/TSB-AD-U.zip,Global,GitHub/Web,Normalized CSV Label column (0/1),KDD21/UCR via TSB-AD-U,Independent labeled time series,Kullanılıyor,benchmark,"UCR arşivinin serisi; ucr / ucr_fizyo* olarak değerlendirmede, eğitime girmez",ucr
KDD21 / UCR Anomaly Series 107,https://www.thedatum.org/datasets/TSB-AD-U.zip,Global,GitHub/Web,Normalized CSV Label column (0/1),KDD21/UCR via TSB-AD-U,Independent labeled time series,Kullanılıyor,benchmark,"UCR arşivinin serisi; ucr / ucr_fizyo* olarak değerlendirmede, eğitime girmez",ucr
KDD21 / UCR Anomaly Series 108,https://www.thedatum.org/datasets/TSB-AD-U.zip,Global,GitHub/Web,Normalized CSV Label column (0/1),KDD21/UCR via TSB-AD-U,Independent labeled time series,Kullanılıyor,benchmark,"UCR arşivinin serisi; ucr / ucr_fizyo* olarak değerlendirmede, eğitime girmez",ucr
KDD21 / UCR Anomaly Series 109,https://www.thedatum.org/datasets/TSB-AD-U.zip,Global,GitHub/Web,Normalized CSV Label column (0/1),KDD21/UCR via TSB-AD-U,Independent labeled time series,Kullanılıyor,benchmark,"UCR arşivinin serisi; ucr / ucr_fizyo* olarak değerlendirmede, eğitime girmez",ucr
KDD21 / UCR Anomaly Series 110,https://www.thedatum.org/datasets/TSB-AD-U.zip,Global,GitHub/Web,Normalized CSV Label column (0/1),KDD21/UCR via TSB-AD-U,Independent labeled time series,Kullanılıyor,benchmark,"UCR arşivinin serisi; ucr / ucr_fizyo* olarak değerlendirmede, eğitime girmez",ucr
KDD21 / UCR Anomaly Series 111,https://www.thedatum.org/datasets/TSB-AD-U.zip,Global,GitHub/Web,Normalized CSV Label column (0/1),KDD21/UCR via TSB-AD-U,Independent labeled time series,Kullanılıyor,benchmark,"UCR arşivinin serisi; ucr / ucr_fizyo* olarak değerlendirmede, eğitime girmez",ucr
KDD21 / UCR Anomaly Series 112,https://www.thedatum.org/datasets/TSB-AD-U.zip,Global,GitHub/Web,Normalized CSV Label column (0/1),KDD21/UCR via TSB-AD-U,Independent labeled time series,Kullanılıyor,benchmark,"UCR arşivinin serisi; ucr / ucr_fizyo* olarak değerlendirmede, eğitime girmez",ucr
KDD21 / UCR Anomaly Series 113,https://www.thedatum.org/datasets/TSB-AD-U.zip,Global,GitHub/Web,Normalized CSV Label column (0/1),KDD21/UCR via TSB-AD-U,Independent labeled time series,Kullanılıyor,benchmark,"UCR arşivinin serisi; ucr / ucr_fizyo* olarak değerlendirmede, eğitime girmez",ucr
KDD21 / UCR Anomaly Series 114,https://www.thedatum.org/datasets/TSB-AD-U.zip,Global,GitHub/Web,Normalized CSV Label column (0/1),KDD21/UCR via TSB-AD-U,Independent labeled time series,Kullanılıyor,benchmark,"UCR arşivinin serisi; ucr / ucr_fizyo* olarak değerlendirmede, eğitime girmez",ucr
KDD21 / UCR Anomaly Series 115,https://www.thedatum.org/datasets/TSB-AD-U.zip,Global,GitHub/Web,Normalized CSV Label column (0/1),KDD21/UCR via TSB-AD-U,Independent labeled time series,Kullanılıyor,benchmark,"UCR arşivinin serisi; ucr / ucr_fizyo* olarak değerlendirmede, eğitime girmez",ucr
KDD21 / UCR Anomaly Series 116,https://www.thedatum.org/datasets/TSB-AD-U.zip,Global,GitHub/Web,Normalized CSV Label column (0/1),KDD21/UCR via TSB-AD-U,Independent labeled time series,Kullanılıyor,benchmark,"UCR arşivinin serisi; ucr / ucr_fizyo* olarak değerlendirmede, eğitime girmez",ucr
KDD21 / UCR Anomaly Series 117,https://www.thedatum.org/datasets/TSB-AD-U.zip,Global,GitHub/Web,Normalized CSV Label column (0/1),KDD21/UCR via TSB-AD-U,Independent labeled time series,Kullanılıyor,benchmark,"UCR arşivinin serisi; ucr / ucr_fizyo* olarak değerlendirmede, eğitime girmez",ucr
KDD21 / UCR Anomaly Series 118,https://www.thedatum.org/datasets/TSB-AD-U.zip,Global,GitHub/Web,Normalized CSV Label column (0/1),KDD21/UCR via TSB-AD-U,Independent labeled time series,Kullanılıyor,benchmark,"UCR arşivinin serisi; ucr / ucr_fizyo* olarak değerlendirmede, eğitime girmez",ucr
KDD21 / UCR Anomaly Series 119,https://www.thedatum.org/datasets/TSB-AD-U.zip,Global,GitHub/Web,Normalized CSV Label column (0/1),KDD21/UCR via TSB-AD-U,Independent labeled time series,Kullanılıyor,benchmark,"UCR arşivinin serisi; ucr / ucr_fizyo* olarak değerlendirmede, eğitime girmez",ucr
KDD21 / UCR Anomaly Series 120,https://www.thedatum.org/datasets/TSB-AD-U.zip,Global,GitHub/Web,Normalized CSV Label column (0/1),KDD21/UCR via TSB-AD-U,Independent labeled time series,Kullanılıyor,benchmark,"UCR arşivinin serisi; ucr / ucr_fizyo* olarak değerlendirmede, eğitime girmez",ucr
KDD21 / UCR Anomaly Series 121,https://www.thedatum.org/datasets/TSB-AD-U.zip,Global,GitHub/Web,Normalized CSV Label column (0/1),KDD21/UCR via TSB-AD-U,Independent labeled time series,Kullanılıyor,benchmark,"UCR arşivinin serisi; ucr / ucr_fizyo* olarak değerlendirmede, eğitime girmez",ucr
KDD21 / UCR Anomaly Series 122,https://www.thedatum.org/datasets/TSB-AD-U.zip,Global,GitHub/Web,Normalized CSV Label column (0/1),KDD21/UCR via TSB-AD-U,Independent labeled time series,Kullanılıyor,benchmark,"UCR arşivinin serisi; ucr / ucr_fizyo* olarak değerlendirmede, eğitime girmez",ucr
KDD21 / UCR Anomaly Series 123,https://www.thedatum.org/datasets/TSB-AD-U.zip,Global,GitHub/Web,Normalized CSV Label column (0/1),KDD21/UCR via TSB-AD-U,Independent labeled time series,Kullanılıyor,benchmark,"UCR arşivinin serisi; ucr / ucr_fizyo* olarak değerlendirmede, eğitime girmez",ucr
KDD21 / UCR Anomaly Series 124,https://www.thedatum.org/datasets/TSB-AD-U.zip,Global,GitHub/Web,Normalized CSV Label column (0/1),KDD21/UCR via TSB-AD-U,Independent labeled time series,Kullanılıyor,benchmark,"UCR arşivinin serisi; ucr / ucr_fizyo* olarak değerlendirmede, eğitime girmez",ucr
KDD21 / UCR Anomaly Series 125,https://www.thedatum.org/datasets/TSB-AD-U.zip,Global,GitHub/Web,Normalized CSV Label column (0/1),KDD21/UCR via TSB-AD-U,Independent labeled time series,Kullanılıyor,benchmark,"UCR arşivinin serisi; ucr / ucr_fizyo* olarak değerlendirmede, eğitime girmez",ucr
KDD21 / UCR Anomaly Series 126,https://www.thedatum.org/datasets/TSB-AD-U.zip,Global,GitHub/Web,Normalized CSV Label column (0/1),KDD21/UCR via TSB-AD-U,Independent labeled time series,Kullanılıyor,benchmark,"UCR arşivinin serisi; ucr / ucr_fizyo* olarak değerlendirmede, eğitime girmez",ucr
KDD21 / UCR Anomaly Series 127,https://www.thedatum.org/datasets/TSB-AD-U.zip,Global,GitHub/Web,Normalized CSV Label column (0/1),KDD21/UCR via TSB-AD-U,Independent labeled time series,Kullanılıyor,benchmark,"UCR arşivinin serisi; ucr / ucr_fizyo* olarak değerlendirmede, eğitime girmez",ucr
KDD21 / UCR Anomaly Series 128,https://www.thedatum.org/datasets/TSB-AD-U.zip,Global,GitHub/Web,Normalized CSV Label column (0/1),KDD21/UCR via TSB-AD-U,Independent labeled time series,Kullanılıyor,benchmark,"UCR arşivinin serisi; ucr / ucr_fizyo* olarak değerlendirmede, eğitime girmez",ucr
KDD21 / UCR Anomaly Series 129,https://www.thedatum.org/datasets/TSB-AD-U.zip,Global,GitHub/Web,Normalized CSV Label column (0/1),KDD21/UCR via TSB-AD-U,Independent labeled time series,Kullanılıyor,benchmark,"UCR arşivinin serisi; ucr / ucr_fizyo* olarak değerlendirmede, eğitime girmez",ucr
KDD21 / UCR Anomaly Series 130,https://www.thedatum.org/datasets/TSB-AD-U.zip,Global,GitHub/Web,Normalized CSV Label column (0/1),KDD21/UCR via TSB-AD-U,Independent labeled time series,Kullanılıyor,benchmark,"UCR arşivinin serisi; ucr / ucr_fizyo* olarak değerlendirmede, eğitime girmez",ucr
KDD21 / UCR Anomaly Series 131,https://www.thedatum.org/datasets/TSB-AD-U.zip,Global,GitHub/Web,Normalized CSV Label column (0/1),KDD21/UCR via TSB-AD-U,Independent labeled time series,Kullanılıyor,benchmark,"UCR arşivinin serisi; ucr / ucr_fizyo* olarak değerlendirmede, eğitime girmez",ucr
KDD21 / UCR Anomaly Series 132,https://www.thedatum.org/datasets/TSB-AD-U.zip,Global,GitHub/Web,Normalized CSV Label column (0/1),KDD21/UCR via TSB-AD-U,Independent labeled time series,Kullanılıyor,benchmark,"UCR arşivinin serisi; ucr / ucr_fizyo* olarak değerlendirmede, eğitime girmez",ucr
KDD21 / UCR Anomaly Series 133,https://www.thedatum.org/datasets/TSB-AD-U.zip,Global,GitHub/Web,Normalized CSV Label column (0/1),KDD21/UCR via TSB-AD-U,Independent labeled time series,Kullanılıyor,benchmark,"UCR arşivinin serisi; ucr / ucr_fizyo* olarak değerlendirmede, eğitime girmez",ucr
KDD21 / UCR Anomaly Series 134,https://www.thedatum.org/datasets/TSB-AD-U.zip,Global,GitHub/Web,Normalized CSV Label column (0/1),KDD21/UCR via TSB-AD-U,Independent labeled time series,Kullanılıyor,benchmark,"UCR arşivinin serisi; ucr / ucr_fizyo* olarak değerlendirmede, eğitime girmez",ucr
KDD21 / UCR Anomaly Series 135,https://www.thedatum.org/datasets/TSB-AD-U.zip,Global,GitHub/Web,Normalized CSV Label column (0/1),KDD21/UCR via TSB-AD-U,Independent labeled time series,Kullanılıyor,benchmark,"UCR arşivinin serisi; ucr / ucr_fizyo* olarak değerlendirmede, eğitime girmez",ucr
KDD21 / UCR Anomaly Series 136,https://www.thedatum.org/datasets/TSB-AD-U.zip,Global,GitHub/Web,Normalized CSV Label column (0/1),KDD21/UCR via TSB-AD-U,Independent labeled time series,Kullanılıyor,benchmark,"UCR arşivinin serisi; ucr / ucr_fizyo* olarak değerlendirmede, eğitime girmez",ucr
KDD21 / UCR Anomaly Series 137,https://www.thedatum.org/datasets/TSB-AD-U.zip,Global,GitHub/Web,Normalized CSV Label column (0/1),KDD21/UCR via TSB-AD-U,Independent labeled time series,Kullanılıyor,benchmark,"UCR arşivinin serisi; ucr / ucr_fizyo* olarak değerlendirmede, eğitime girmez",ucr
KDD21 / UCR Anomaly Series 138,https://www.thedatum.org/datasets/TSB-AD-U.zip,Global,GitHub/Web,Normalized CSV Label column (0/1),KDD21/UCR via TSB-AD-U,Independent labeled time series,Kullanılıyor,benchmark,"UCR arşivinin serisi; ucr / ucr_fizyo* olarak değerlendirmede, eğitime girmez",ucr
KDD21 / UCR Anomaly Series 139,https://www.thedatum.org/datasets/TSB-AD-U.zip,Global,GitHub/Web,Normalized CSV Label column (0/1),KDD21/UCR via TSB-AD-U,Independent labeled time series,Kullanılıyor,benchmark,"UCR arşivinin serisi; ucr / ucr_fizyo* olarak değerlendirmede, eğitime girmez",ucr
KDD21 / UCR Anomaly Series 140,https://www.thedatum.org/datasets/TSB-AD-U.zip,Global,GitHub/Web,Normalized CSV Label column (0/1),KDD21/UCR via TSB-AD-U,Independent labeled time series,Kullanılıyor,benchmark,"UCR arşivinin serisi; ucr / ucr_fizyo* olarak değerlendirmede, eğitime girmez",ucr
KDD21 / UCR Anomaly Series 141,https://www.thedatum.org/datasets/TSB-AD-U.zip,Global,GitHub/Web,Normalized CSV Label column (0/1),KDD21/UCR via TSB-AD-U,Independent labeled time series,Kullanılıyor,benchmark,"UCR arşivinin serisi; ucr / ucr_fizyo* olarak değerlendirmede, eğitime girmez",ucr
KDD21 / UCR Anomaly Series 142,https://www.thedatum.org/datasets/TSB-AD-U.zip,Global,GitHub/Web,Normalized CSV Label column (0/1),KDD21/UCR via TSB-AD-U,Independent labeled time series,Kullanılıyor,benchmark,"UCR arşivinin serisi; ucr / ucr_fizyo* olarak değerlendirmede, eğitime girmez",ucr
KDD21 / UCR Anomaly Series 143,https://www.thedatum.org/datasets/TSB-AD-U.zip,Global,GitHub/Web,Normalized CSV Label column (0/1),KDD21/UCR via TSB-AD-U,Independent labeled time series,Kullanılıyor,benchmark,"UCR arşivinin serisi; ucr / ucr_fizyo* olarak değerlendirmede, eğitime girmez",ucr
KDD21 / UCR Anomaly Series 144,https://www.thedatum.org/datasets/TSB-AD-U.zip,Global,GitHub/Web,Normalized CSV Label column (0/1),KDD21/UCR via TSB-AD-U,Independent labeled time series,Kullanılıyor,benchmark,"UCR arşivinin serisi; ucr / ucr_fizyo* olarak değerlendirmede, eğitime girmez",ucr
KDD21 / UCR Anomaly Series 145,https://www.thedatum.org/datasets/TSB-AD-U.zip,Global,GitHub/Web,Normalized CSV Label column (0/1),KDD21/UCR via TSB-AD-U,Independent labeled time series,Kullanılıyor,benchmark,"UCR arşivinin serisi; ucr / ucr_fizyo* olarak değerlendirmede, eğitime girmez",ucr
KDD21 / UCR Anomaly Series 146,https://www.thedatum.org/datasets/TSB-AD-U.zip,Global,GitHub/Web,Normalized CSV Label column (0/1),KDD21/UCR via TSB-AD-U,Independent labeled time series,Kullanılıyor,benchmark,"UCR arşivinin serisi; ucr / ucr_fizyo* olarak değerlendirmede, eğitime girmez",ucr
KDD21 / UCR Anomaly Series 147,https://www.thedatum.org/datasets/TSB-AD-U.zip,Global,GitHub/Web,Normalized CSV Label column (0/1),KDD21/UCR via TSB-AD-U,Independent labeled time series,Kullanılıyor,benchmark,"UCR arşivinin serisi; ucr / ucr_fizyo* olarak değerlendirmede, eğitime girmez",ucr
